변환,원자료
"1970/Q3","528.1"
"1970/Q4","554.1"
"1971/Q1","589.5"
"1971/Q2","625.2"
"1971/Q3","670.2"
"1971/Q4","678.2"
"1972/Q1","722.2"
"1972/Q2","761.8"
"1972/Q3","795.6"
"1972/Q4","806.9"
"1973/Q1","862.2"
"1973/Q2","922.8"
"1973/Q3","976.3"
"1973/Q4","1,024.4"
"1974/Q1","1,193.3"
"1974/Q2","1,342.9"
"1974/Q3","1,424.2"
"1974/Q4","1,477.3"
"1975/Q1","1,643.8"
"1975/Q2","1,787.4"
"1975/Q3","1,889"
"1975/Q4","1,965.3"
"1976/Q1","2,180.8"
"1976/Q2","2,252.6"
"1976/Q3","2,410.3"
"1976/Q4","2,481.2"
"1977/Q1","2,610"
"1977/Q2","2,698.3"
"1977/Q3","2,896.8"
"1977/Q4","3,180.2"
"1978/Q1","3,349.9"
"1978/Q2","3,640.8"
"1978/Q3","3,886.2"
"1978/Q4","4,191.8"
"1979/Q1","4,426.3"
"1979/Q2","4,738.3"
"1979/Q3","4,953.7"
"1979/Q4","5,410.8"
"1980/Q1","5,648.2"
"1980/Q2","5,974.3"
"1980/Q3","6,464.2"
"1980/Q4","6,918.2"
"1981/Q1","7,173.7"
"1981/Q2","7,660.1"
"1981/Q3","8,018"
"1981/Q4","8,392.9"
"1982/Q1","8,355.7"
"1982/Q2","8,718"
"1982/Q3","9,026.6"
"1982/Q4","9,207"
"1983/Q1","9,632.9"
"1983/Q2","9,885.9"
"1983/Q3","10,015.5"
"1983/Q4","10,293.6"
"1984/Q1","10,699.3"
"1984/Q2","10,946.9"
"1984/Q3","11,335.1"
"1984/Q4","11,512.9"
"1985/Q1","11,717.9"
"1985/Q2","12,065.6"
"1985/Q3","12,636.6"
"1985/Q4","12,975.2"
"1986/Q1","13,187.6"
"1986/Q2","13,514.3"
"1986/Q3","14,075.5"
"1986/Q4","14,300.8"
"1987/Q1","14,731"
"1987/Q2","15,265.9"
"1987/Q3","15,772.6"
"1987/Q4","16,378.2"
"1988/Q1","16,983.6"
"1988/Q2","17,601.7"
"1988/Q3","18,287.5"
"1988/Q4","19,086.9"
"1989/Q1","19,857"
"1989/Q2","20,729.2"
"1989/Q3","21,501.3"
"1989/Q4","22,653.7"
"1990/Q1","23,717.4"
"1990/Q2","24,838.9"
"1990/Q3","25,989.1"
"1990/Q4","27,215.1"
"1991/Q1","28,700"
"1991/Q2","30,024.9"
"1991/Q3","31,666.5"
"1991/Q4","33,091.6"
"1992/Q1","34,032.1"
"1992/Q2","35,272"
"1992/Q3","36,222.2"
"1992/Q4","37,397.9"
"1993/Q1","38,904.6"
"1993/Q2","39,974.6"
"1993/Q3","41,240.4"
"1993/Q4","43,194.7"
"1994/Q1","46,338.4"
"1994/Q2","47,945.5"
"1994/Q3","49,838.2"
"1994/Q4","51,635.6"
"1995/Q1","54,429.1"
"1995/Q2","56,693.9"
"1995/Q3","58,933.1"
"1995/Q4","60,691"
"1996/Q1","63,036"
"1996/Q2","65,709.7"
"1996/Q3","67,053.7"
"1996/Q4","69,906.3"
"1997/Q1","70,630.6"
"1997/Q2","72,895.2"
"1997/Q3","74,689.9"
"1997/Q4","75,617.7"
"1998/Q1","67,388.8"
"1998/Q2","67,097"
"1998/Q3","68,673.9"
"1998/Q4","71,008.6"
"1999/Q1","74,240.5"
"1999/Q2","76,549"
"1999/Q3","80,583"
"1999/Q4","84,262.9"
"2000/Q1","88,245.9"
"2000/Q2","88,262.5"
"2000/Q3","91,094.1"
"2000/Q4","93,103.7"
"2001/Q1","94,736.5"
"2001/Q2","98,196.2"
"2001/Q3","100,799.5"
"2001/Q4","103,514.9"
"2002/Q1","108,359.8"
"2002/Q2","111,389.8"
"2002/Q3","113,045.9"
"2002/Q4","114,416.6"
"2003/Q1","114,835.4"
"2003/Q2","114,444.3"
"2003/Q3","115,149.5"
"2003/Q4","116,785.8"
"2004/Q1","117,794.6"
"2004/Q2","118,509.2"
"2004/Q3","120,224"
"2004/Q4","121,805.3"
"2005/Q1","123,621.9"
"2005/Q2","127,191.3"
"2005/Q3","129,323.2"
"2005/Q4","131,834.3"
"2006/Q1","132,899.8"
"2006/Q2","135,701"
"2006/Q3","137,466"
"2006/Q4","139,986.7"
"2007/Q1","141,810.7"
"2007/Q2","145,840.2"
"2007/Q3","148,014.2"
"2007/Q4","150,896.1"
"2008/Q1","154,442.4"
"2008/Q2","157,019.4"
"2008/Q3","158,495"
"2008/Q4","153,377.8"
"2009/Q1","153,329.3"
"2009/Q2","159,911.9"
"2009/Q3","162,834.2"
"2009/Q4","164,683.6"
"2010/Q1","167,764.1"
"2010/Q2","170,287.2"
"2010/Q3","173,356.7"
"2010/Q4","176,137.2"
"2011/Q1","180,266.4"
"2011/Q2","183,069.3"
"2011/Q3","184,685.6"
"2011/Q4","186,308.6"
"2012/Q1","188,521.9"
"2012/Q2","189,266.6"
"2012/Q3","191,211"
"2012/Q4","193,136.2"
"2013/Q1","192,995.8"
"2013/Q2","194,253.8"
"2013/Q3","196,113.7"
"2013/Q4","198,481.5"
"2014/Q1","201,201.9"
"2014/Q2","201,040.9"
"2014/Q3","202,298.8"
"2014/Q4","203,747.4"
"2015/Q1","206,326.4"
"2015/Q2","207,249.6"
"2015/Q3","209,724.3"
"2015/Q4","213,267.7"
"2016/Q1","213,919.8"
"2016/Q2","216,041.5"
"2016/Q3","218,442.8"
"2016/Q4","219,184.1"
"2017/Q1","222,886.2"
"2017/Q2","225,821.9"
"2017/Q3","230,016.2"
"2017/Q4","231,147.4"
"2018/Q1","235,064"
"2018/Q2","236,402.5"
"2018/Q3","239,035.7"
"2018/Q4","240,610"
"2019/Q1","241,269.9"
"2019/Q2","243,546"
"2019/Q3","245,589.8"
"2019/Q4","249,090.2"
"2020/Q1","233,133.5"
"2020/Q2","234,633.1"
"2020/Q3","238,204.3"
"2020/Q4","236,447.6"
"2021/Q1","239,968.1"
"2021/Q2","251,087.2"
"2021/Q3","252,447.9"
"2021/Q4","260,573.2"
"2022/Q1","258,945.7"
"2022/Q2","272,587.7"
"2022/Q3","279,743.7"
"2022/Q4","281,908"
"2023/Q1","284,773.7"
"2023/Q2","286,919.2"
"2023/Q3","289,014.5"
"2023/Q4","291,169.1"
"2024/Q1","294,083"
"2024/Q2","295,274.1"
"2024/Q3","297,642.3"
"2024/Q4","298,691.6"
"2025/Q1","301,234.2"
"2025/Q2","302,983.3"
"2025/Q3","308,288.4"